team,wc_matches_played,wc_wins,wc_draws,wc_losses,wc_win_rate,avg_goals_scored,avg_goals_conceded,goal_diff_per_match,wc_appearances_94_22,wc_titles,wc_runner_up
Algeria,7,1,2,4,0.143,1.0,1.286,-0.286,2.0,0.0,0.0
Angola,3,0,2,1,0.0,0.333,0.667,-0.333,1.0,0.0,0.0
Argentina,40,24,7,9,0.6,1.75,1.05,0.701,8.0,3.0,3.0
Australia,17,4,3,10,0.235,1.0,1.824,-0.824,5.0,0.0,0.0
Austria,3,0,2,1,0.0,1.0,1.333,-0.333,1.0,0.0,0.0
Belgium,26,14,6,6,0.538,1.385,0.962,0.423,6.0,0.0,0.0
Bolivia,3,0,1,2,0.0,0.333,1.333,-1.0,1.0,0.0,0.0
Bosnia and Herzegovina,3,1,0,2,0.333,1.333,1.333,0.0,1.0,0.0,0.0
Brazil,48,32,8,8,0.667,1.854,0.896,0.959,8.0,5.0,2.0
Bulgaria,10,3,2,5,0.3,1.1,1.8,-0.7,2.0,0.0,0.0
Cabo Verde,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,18,2,5,11,0.111,0.778,2.056,-1.277,6.0,0.0,0.0
Canada,3,0,0,3,0.0,0.667,2.0,-1.333,1.0,0.0,0.0
Chile,12,4,4,4,0.333,1.167,1.417,-0.25,3.0,0.0,0.0
China,3,0,0,3,0.0,0.0,3.0,-3.0,1.0,0.0,0.0
Colombia,15,8,1,6,0.533,1.533,1.0,0.533,4.0,0.0,0.0
Congo DR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,17,4,5,8,0.235,1.058,1.882,-0.824,5.0,0.0,0.0
Croatia,29,14,6,9,0.483,1.483,1.103,0.38,6.0,0.0,1.0
Curacao,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,3,1,0,2,0.333,1.0,1.333,-0.333,1.0,0.0,0.0
Côte d'Ivoire,9,3,1,5,0.333,1.444,1.556,-0.111,3.0,0.0,0.0
Denmark,19,6,6,7,0.316,1.105,1.158,-0.053,5.0,0.0,0.0
Ecuador,14,5,2,7,0.357,1.071,1.214,-0.143,4.0,0.0,0.0
Egypt,3,0,0,3,0.0,0.667,2.0,-1.333,1.0,0.0,0.0
England,34,15,11,8,0.441,1.441,0.824,0.618,7.0,1.0,0.0
France,39,24,8,7,0.615,1.666,0.743,0.923,7.0,2.0,1.0
Germany,44,29,6,9,0.659,1.978,0.909,1.068,8.0,1.0,1.0
Ghana,15,5,3,7,0.333,1.2,1.533,-0.333,4.0,0.0,0.0
Greece,10,2,2,6,0.2,0.5,2.0,-1.5,3.0,0.0,0.0
Haiti,1,0,0,1,0.0,0.667,2.667,-2.0,1.0,0.0,0.0
Honduras,6,0,1,5,0.0,0.167,1.833,-1.667,2.0,0.0,0.0
IR Iran,16,3,3,10,0.188,0.812,1.75,-0.938,5.0,0.0,0.0
Iceland,3,0,1,2,0.0,0.667,1.667,-1.0,1.0,0.0,0.0
Iraq,3,0,0,3,0.0,0.333,4.0,-3.667,1.0,0.0,0.0
Italy,29,14,9,6,0.483,1.345,0.793,0.552,6.0,4.0,2.0
Jamaica,3,1,0,2,0.333,1.0,3.0,-2.0,1.0,0.0,0.0
Japan,25,7,6,12,0.28,0.96,1.28,-0.32,7.0,0.0,0.0
Jordan,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Korea DPR,3,0,0,3,0.0,0.333,4.0,-3.667,1.0,0.0,0.0
Korea Republic,30,7,8,15,0.233,1.133,1.6,-0.467,8.0,0.0,0.0
Mexico,31,10,9,12,0.323,1.129,1.193,-0.064,8.0,0.0,0.0
Morocco,15,5,3,7,0.333,1.0,1.0,-0.0,4.0,0.0,0.0
Netherlands,36,23,7,6,0.639,1.75,0.861,0.889,6.0,0.0,3.0
New Zealand,3,0,3,0,0.0,0.667,0.667,0.0,1.0,0.0,0.0
Nigeria,21,6,3,12,0.286,1.095,1.429,-0.333,6.0,0.0,0.0
Norway,7,2,3,2,0.286,0.857,0.857,0.0,2.0,0.0,0.0
Panama,3,0,0,3,0.0,0.667,3.667,-3.0,1.0,0.0,0.0
Paraguay,16,4,6,6,0.25,0.875,0.812,0.062,4.0,0.0,0.0
Peru,3,1,0,2,0.333,0.667,0.667,0.0,1.0,0.0,0.0
Poland,13,4,0,9,0.308,0.769,1.616,-0.846,4.0,0.0,0.0
Portugal,26,11,6,9,0.423,1.616,1.077,0.539,6.0,0.0,0.0
Qatar,3,0,0,3,0.0,0.333,2.333,-2.0,1.0,0.0,0.0
Republic of Ireland,8,2,4,2,0.25,1.0,0.875,0.125,2.0,0.0,0.0
Romania,9,5,2,2,0.556,1.556,1.333,0.222,2.0,0.0,0.0
Russia,14,4,4,6,0.286,1.714,1.429,0.286,4.0,0.0,0.0
Saudi Arabia,19,4,2,13,0.211,0.737,2.264,-1.526,6.0,0.0,0.0
Scotland,3,0,1,2,0.0,0.667,2.0,-1.333,1.0,0.0,0.0
Senegal,13,5,4,4,0.385,1.385,1.231,0.154,3.0,0.0,0.0
Serbia,12,2,1,9,0.167,0.917,1.833,-0.917,4.0,0.0,0.0
Slovakia,4,1,1,2,0.25,1.25,1.75,-0.5,1.0,0.0,0.0
Slovenia,6,1,1,4,0.167,0.833,1.667,-0.833,2.0,0.0,0.0
South Africa,9,2,4,3,0.222,1.222,1.778,-0.556,3.0,0.0,0.0
Spain,35,19,9,7,0.543,1.857,1.029,0.828,8.0,1.0,0.0
Sweden,20,8,7,5,0.4,1.45,1.05,0.4,4.0,0.0,1.0
Switzerland,23,9,7,7,0.391,1.217,1.044,0.174,6.0,0.0,0.0
Togo,3,0,0,3,0.0,0.333,2.0,-1.667,1.0,0.0,0.0
Trinidad and Tobago,3,0,1,2,0.0,0.0,1.333,-1.333,1.0,0.0,0.0
Tunisia,15,2,4,9,0.133,0.733,1.6,-0.867,5.0,0.0,0.0
Turkey,7,4,1,2,0.571,1.429,0.857,0.571,1.0,0.0,0.0
USA,27,5,9,13,0.185,0.926,1.334,-0.408,7.0,0.0,0.0
Ukraine,5,2,1,2,0.4,1.0,1.4,-0.4,1.0,0.0,0.0
