year,stage,home_team,away_team,home_goals,away_goals,result,home_fifa_rank,home_fifa_points,home_wc_win_rate,home_avg_goals_scored,home_avg_goals_conceded,home_goal_diff,home_wc_matches,home_wc_appearances,home_wc_titles,away_fifa_rank,away_fifa_points,away_wc_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_goal_diff,away_wc_matches,away_wc_appearances,away_wc_titles,rank_diff,points_diff,points_ratio,win_rate_diff,goal_diff_diff,title_diff,experience_diff
1994,Group stage,Germany,Bolivia,1,0,H,10,1735.771984,0.0,0.0,0.0,0.0,0,0,0,77,1325.995377,0.0,0.0,0.0,0.0,0,0,0,-67,409.776607,0.5669,0.0,0.0,0,0
1994,Group stage,Spain,Korea Republic,2,2,D,2,1873.013187,0.0,0.0,0.0,0.0,0,0,0,25,1591.630886,0.0,0.0,0.0,0.0,0,0,0,-23,281.3823010000001,0.5406,0.0,0.0,0,0
1994,Group stage,USA,Switzerland,1,1,D,17,1671.2341,0.0,0.0,0.0,0.0,0,0,0,19,1650.064179,0.0,0.0,0.0,0.0,0,0,0,-2,21.16992099999993,0.5032,0.0,0.0,0,0
1994,Group stage,Italy,Republic of Ireland,0,1,A,12,1704.733836,0.0,0.0,0.0,0.0,0,0,3,58,1441.096901,0.0,0.0,0.0,0.0,0,0,0,-46,263.6369350000002,0.5419,0.0,0.0,3,0
1994,Group stage,Colombia,Romania,1,3,A,13,1698.351858,0.0,0.0,0.0,0.0,0,0,0,53,1455.894657,0.0,0.0,0.0,0.0,0,0,0,-40,242.45720099999997,0.5384,0.0,0.0,0,0
1994,Group stage,Belgium,Morocco,1,0,H,9,1742.235945,0.0,0.0,0.0,0.0,0,0,0,7,1755.100232,0.0,0.0,0.0,0.0,0,0,0,2,-12.864287000000104,0.4982,0.0,0.0,0,0
1994,Group stage,Norway,Mexico,1,0,H,31,1557.437664,0.0,0.0,0.0,0.0,0,0,0,14,1687.481759,0.0,0.0,0.0,0.0,0,0,0,17,-130.04409499999997,0.48,0.0,0.0,0,0
1994,Group stage,Cameroon,Sweden,2,2,D,44,1481.235245,0.0,0.0,0.0,0.0,0,0,0,38,1509.785392,0.0,0.0,0.0,0.0,0,0,0,6,-28.550146999999924,0.4952,0.0,0.0,0,0
1994,Group stage,Brazil,Russia,2,0,H,6,1765.856297,0.0,0.0,0.0,0.0,0,0,3,35,1527.237131,0.0,0.0,0.0,0.0,0,0,0,-29,238.61916599999995,0.5362,0.0,0.0,3,0
1994,Group stage,Netherlands,Saudi Arabia,2,1,H,8,1751.097835,0.0,0.0,0.0,0.0,0,0,0,61,1421.538339,0.0,0.0,0.0,0.0,0,0,0,-53,329.5594960000001,0.5519,0.0,0.0,0,0
1994,Group stage,Argentina,Greece,4,0,H,1,1876.118331,0.0,0.0,0.0,0.0,0,0,2,48,1473.187305,0.0,0.0,0.0,0.0,0,0,0,-47,402.931026,0.5602,0.0,0.0,2,0
1994,Group stage,Germany,Spain,1,1,D,10,1735.771984,1.0,1.0,0.0,1.0,1,1,0,2,1873.013187,0.0,2.0,2.0,0.0,1,1,0,8,-137.24120300000004,0.481,1.0,1.0,0,0
1994,Group stage,Nigeria,Bulgaria,3,0,H,26,1586.688586,0.0,0.0,0.0,0.0,0,0,0,87,1271.683325,0.0,0.0,0.0,0.0,0,0,0,-61,315.005261,0.5551,0.0,0.0,0,0
1994,Group stage,Romania,Switzerland,1,4,A,53,1455.894657,1.0,3.0,1.0,2.0,1,1,0,19,1650.064179,0.0,1.0,1.0,0.0,1,1,0,34,-194.16952199999992,0.4687,1.0,2.0,0,0
1994,Group stage,USA,Colombia,2,1,H,17,1671.2341,0.0,1.0,1.0,0.0,1,1,0,13,1698.351858,0.0,1.0,3.0,-2.0,1,1,0,4,-27.11775800000009,0.496,0.0,2.0,0,0
1994,Group stage,Italy,Norway,1,0,H,12,1704.733836,0.0,0.0,1.0,-1.0,1,1,3,31,1557.437664,1.0,1.0,0.0,1.0,1,1,0,-19,147.29617200000007,0.5226,-1.0,-2.0,3,0
1994,Group stage,Korea Republic,Bolivia,0,0,D,25,1591.630886,0.0,2.0,2.0,0.0,1,1,0,77,1325.995377,0.0,0.0,1.0,-1.0,1,1,0,-52,265.635509,0.5455,0.0,1.0,0,0
1994,Group stage,Mexico,Republic of Ireland,2,1,H,14,1687.481759,0.0,0.0,1.0,-1.0,1,1,0,58,1441.096901,1.0,1.0,0.0,1.0,1,1,0,-44,246.3848580000001,0.5394,-1.0,-2.0,0,0
1994,Group stage,Brazil,Cameroon,3,0,H,6,1765.856297,1.0,2.0,0.0,2.0,1,1,3,44,1481.235245,0.0,2.0,2.0,0.0,1,1,0,-38,284.621052,0.5438,1.0,2.0,3,0
1994,Group stage,Sweden,Russia,3,1,H,38,1509.785392,0.0,2.0,2.0,0.0,1,1,0,35,1527.237131,0.0,0.0,2.0,-2.0,1,1,0,3,-17.45173900000009,0.4971,0.0,2.0,0,0
1994,Group stage,Belgium,Netherlands,1,0,H,9,1742.235945,1.0,1.0,0.0,1.0,1,1,0,8,1751.097835,1.0,2.0,1.0,1.0,1,1,0,1,-8.86189000000013,0.4987,0.0,0.0,0,0
1994,Group stage,Saudi Arabia,Morocco,2,1,H,61,1421.538339,0.0,1.0,2.0,-1.0,1,1,0,7,1755.100232,0.0,0.0,1.0,-1.0,1,1,0,54,-333.56189300000005,0.4475,0.0,0.0,0,0
1994,Group stage,Argentina,Nigeria,2,1,H,1,1876.118331,1.0,4.0,0.0,4.0,1,1,2,26,1586.688586,1.0,3.0,0.0,3.0,1,1,0,-25,289.4297449999999,0.5418,0.0,1.0,2,0
1994,Group stage,Bulgaria,Greece,4,0,H,87,1271.683325,0.0,0.0,3.0,-3.0,1,1,0,48,1473.187305,0.0,0.0,4.0,-4.0,1,1,0,39,-201.50398,0.4633,0.0,1.0,0,0
1994,Group stage,USA,Romania,0,1,A,17,1671.2341,0.5,1.5,1.0,0.5,2,1,0,53,1455.894657,0.5,2.0,2.5,-0.5,2,1,0,-36,215.33944299999985,0.5344,0.0,1.0,0,0
1994,Group stage,Switzerland,Colombia,0,2,A,19,1650.064179,0.5,2.5,1.0,1.5,2,1,0,13,1698.351858,0.0,1.0,2.5,-1.5,2,1,0,6,-48.287679000000026,0.4928,0.5,3.0,0,0
1994,Group stage,Germany,Korea Republic,3,2,H,10,1735.771984,0.5,1.0,0.5,0.5,2,1,0,25,1591.630886,0.0,1.0,1.0,0.0,2,1,0,-15,144.14109800000006,0.5217,0.5,0.5,0,0
1994,Group stage,Bolivia,Spain,1,3,A,77,1325.995377,0.0,0.0,0.5,-0.5,2,1,0,2,1873.013187,0.0,1.5,1.5,0.0,2,1,0,75,-547.01781,0.4145,0.0,-0.5,0,0
1994,Group stage,Republic of Ireland,Norway,0,0,D,58,1441.096901,0.5,1.0,1.0,0.0,2,1,0,31,1557.437664,0.5,0.5,0.5,0.0,2,1,0,27,-116.34076300000017,0.4806,0.0,0.0,0,0
1994,Group stage,Italy,Mexico,1,1,D,12,1704.733836,0.5,0.5,0.5,0.0,2,1,3,14,1687.481759,0.5,1.0,1.0,0.0,2,1,0,-2,17.2520770000001,0.5025,0.0,0.0,3,0
1994,Group stage,Brazil,Sweden,1,1,D,6,1765.856297,1.0,2.5,0.0,2.5,2,1,3,38,1509.785392,0.5,2.5,1.5,1.0,2,1,0,-32,256.07090500000004,0.5391,0.5,1.5,3,0
1994,Group stage,Russia,Cameroon,6,1,H,35,1527.237131,0.0,0.5,2.5,-2.0,2,1,0,44,1481.235245,0.0,1.0,2.5,-1.5,2,1,0,-9,46.00188600000001,0.5076,0.0,-0.5,0,0
1994,Group stage,Morocco,Netherlands,1,2,A,7,1755.100232,0.0,0.5,1.5,-1.0,2,1,0,8,1751.097835,0.5,1.0,1.0,0.0,2,1,0,-1,4.002396999999974,0.5006,-0.5,-1.0,0,0
1994,Group stage,Belgium,Saudi Arabia,0,1,A,9,1742.235945,1.0,1.0,0.0,1.0,2,1,0,61,1421.538339,0.5,1.5,1.5,0.0,2,1,0,-52,320.69760599999995,0.5507,0.5,1.0,0,0
1994,Group stage,Greece,Nigeria,0,2,A,48,1473.187305,0.0,0.0,4.0,-4.0,2,1,0,26,1586.688586,0.5,2.0,1.0,1.0,2,1,0,22,-113.50128100000006,0.4815,-0.5,-5.0,0,0
1994,Group stage,Argentina,Bulgaria,0,2,A,1,1876.118331,1.0,3.0,0.5,2.5,2,1,2,87,1271.683325,0.5,2.0,1.5,0.5,2,1,0,-86,604.4350059999999,0.596,0.5,2.0,2,0
1994,Round of 16,Germany,Belgium,3,2,H,10,1735.771984,0.667,1.667,1.0,0.667,3,1,0,9,1742.235945,0.667,0.667,0.333,0.333,3,1,0,1,-6.463960999999927,0.4991,0.0,0.334,0,0
1994,Round of 16,Spain,Switzerland,3,0,H,2,1873.013187,0.333,2.0,1.333,0.667,3,1,0,19,1650.064179,0.333,1.667,1.333,0.333,3,1,0,-17,222.94900800000005,0.5316,0.0,0.334,0,0
1994,Round of 16,Saudi Arabia,Sweden,1,3,A,61,1421.538339,0.667,1.333,1.0,0.333,3,1,0,38,1509.785392,0.333,2.0,1.333,0.667,3,1,0,23,-88.24705300000005,0.4849,0.334,-0.334,0,0
1994,Round of 16,Romania,Argentina,3,2,H,53,1455.894657,0.667,1.667,1.667,0.0,3,1,0,1,1876.118331,0.667,2.0,1.0,1.0,3,1,2,52,-420.2236739999999,0.4369,0.0,-1.0,-2,0
1994,Round of 16,Netherlands,Republic of Ireland,2,0,H,8,1751.097835,0.667,1.333,1.0,0.333,3,1,0,58,1441.096901,0.333,0.667,0.667,0.0,3,1,0,-50,310.00093400000014,0.5486,0.334,0.333,0,0
1994,Round of 16,USA,Brazil,0,1,A,17,1671.2341,0.333,1.0,1.0,0.0,3,1,0,6,1765.856297,0.667,2.0,0.333,1.667,3,1,3,11,-94.62219700000014,0.4862,-0.334,-1.667,-3,0
1994,Round of 16,Nigeria,Italy,1,2,A,26,1586.688586,0.667,2.0,0.667,1.333,3,1,0,12,1704.733836,0.333,0.667,0.667,0.0,3,1,3,14,-118.04525000000012,0.4821,0.334,1.333,-3,0
1994,Round of 16,Mexico,Bulgaria,1,1,D,14,1687.481759,0.333,1.0,1.0,0.0,3,1,0,87,1271.683325,0.667,2.0,1.0,1.0,3,1,0,-73,415.798434,0.5703,-0.334,-1.0,0,0
1994,Quarter-finals,Italy,Spain,2,1,H,12,1704.733836,0.5,1.0,0.75,0.25,4,1,3,2,1873.013187,0.5,2.25,1.0,1.25,4,1,0,10,-168.2793509999999,0.4765,0.0,-1.0,3,0
1994,Quarter-finals,Netherlands,Brazil,2,3,A,8,1751.097835,0.75,1.5,0.75,0.75,4,1,0,6,1765.856297,0.75,1.75,0.25,1.5,4,1,3,2,-14.758462000000009,0.4979,0.0,-0.75,-3,0
1994,Quarter-finals,Bulgaria,Germany,2,1,H,87,1271.683325,0.5,1.75,1.0,0.75,4,1,0,10,1735.771984,0.75,2.0,1.25,0.75,4,1,0,77,-464.088659,0.4228,-0.25,0.0,0,0
1994,Quarter-finals,Romania,Sweden,2,2,D,53,1455.894657,0.75,2.0,1.75,0.25,4,1,0,38,1509.785392,0.5,2.25,1.25,1.0,4,1,0,15,-53.89073499999995,0.4909,0.25,-0.75,0,0
1994,Semi-finals,Bulgaria,Italy,1,2,A,87,1271.683325,0.6,1.8,1.0,0.8,5,1,0,12,1704.733836,0.6,1.2,0.8,0.4,5,1,3,75,-433.05051100000014,0.4273,0.0,0.4,-3,0
1994,Semi-finals,Sweden,Brazil,0,1,A,38,1509.785392,0.4,2.2,1.4,0.8,5,1,0,6,1765.856297,0.8,2.0,0.6,1.4,5,1,3,32,-256.07090500000004,0.4609,-0.4,-0.6,-3,0
1994,Third place,Sweden,Bulgaria,4,0,H,38,1509.785392,0.333,1.833,1.333,0.5,6,1,0,87,1271.683325,0.5,1.667,1.167,0.5,6,1,0,-49,238.10206700000003,0.5428,-0.167,0.0,0,0
1994,Final,Brazil,Italy,0,0,D,6,1765.856297,0.833,1.833,0.5,1.333,6,1,3,12,1704.733836,0.667,1.333,0.833,0.5,6,1,3,-6,61.12246099999993,0.5088,0.166,0.833,0,0
1998,Group stage,Brazil,Scotland,2,1,H,6,1765.856297,0.714,1.571,0.429,1.143,7,1,4,42,1503.34027,0.0,0.0,0.0,0.0,0,0,0,-36,262.5160270000001,0.5401,0.714,1.143,4,1
1998,Group stage,Morocco,Norway,2,2,D,7,1755.100232,0.0,0.667,1.667,-1.0,3,1,0,31,1557.437664,0.333,0.333,0.333,0.0,3,1,0,-24,197.662568,0.5298,-0.333,-1.0,0,0
1998,Group stage,Italy,Chile,2,2,D,12,1704.733836,0.571,1.143,0.714,0.429,7,1,3,55,1452.939983,0.0,0.0,0.0,0.0,0,0,0,-43,251.79385300000013,0.5399,0.571,0.429,3,1
1998,Group stage,Cameroon,Austria,1,1,D,44,1481.235245,0.0,1.0,3.667,-2.667,3,1,0,24,1597.404087,0.0,0.0,0.0,0.0,0,0,0,20,-116.1688419999998,0.4811,0.0,-2.667,0,1
1998,Group stage,Paraguay,Bulgaria,0,0,D,40,1505.349689,0.0,0.0,0.0,0.0,0,0,0,87,1271.683325,0.429,1.429,1.571,-0.143,7,1,0,-47,233.66636399999996,0.5421,-0.429,0.143,0,-1
1998,Group stage,Saudi Arabia,Denmark,0,1,A,61,1421.538339,0.5,1.25,1.5,-0.25,4,1,0,21,1619.474248,0.0,0.0,0.0,0.0,0,0,0,40,-197.93590900000004,0.4675,0.5,-0.25,0,1
1998,Group stage,France,South Africa,3,0,H,3,1869.428449,0.0,0.0,0.0,0.0,0,0,0,60,1428.379282,0.0,0.0,0.0,0.0,0,0,0,-57,441.0491669999999,0.5669,0.0,0.0,0,0
1998,Group stage,Spain,Nigeria,2,3,A,2,1873.013187,0.4,2.0,1.2,0.8,5,1,0,26,1586.688586,0.5,1.75,1.0,0.75,4,1,0,-24,286.32460100000003,0.5414,-0.1,0.05,0,0
1998,Group stage,Korea Republic,Mexico,1,3,A,25,1591.630886,0.0,1.333,1.667,-0.333,3,1,0,14,1687.481759,0.25,1.0,1.0,0.0,4,1,0,11,-95.85087300000008,0.4854,-0.25,-0.333,0,0
1998,Group stage,Netherlands,Belgium,0,0,D,8,1751.097835,0.6,1.6,1.2,0.4,5,1,0,9,1742.235945,0.5,1.0,1.0,0.0,4,1,0,-1,8.86189000000013,0.5013,0.1,0.4,0,0
1998,Group stage,Argentina,Japan,1,0,H,1,1876.118331,0.5,2.0,1.5,0.5,4,1,2,18,1661.576187,0.0,0.0,0.0,0.0,0,0,0,-17,214.542144,0.5303,0.5,0.5,2,1
1998,Group stage,Yugoslavia,IR Iran,1,0,H,100,1200.0,0.0,0.0,0.0,0.0,0,0,0,20,1619.58163,0.0,0.0,0.0,0.0,0,0,0,80,-419.5816299999999,0.4256,0.0,0.0,0,0
1998,Group stage,Jamaica,Croatia,1,3,A,71,1357.840144,0.0,0.0,0.0,0.0,0,0,0,11,1714.865572,0.0,0.0,0.0,0.0,0,0,0,60,-357.0254279999999,0.4419,0.0,0.0,0,0
1998,Group stage,England,Tunisia,2,0,H,4,1827.048678,0.0,0.0,0.0,0.0,0,0,1,46,1476.405088,0.0,0.0,0.0,0.0,0,0,0,-42,350.64359000000013,0.5531,0.0,0.0,1,0
1998,Group stage,Romania,Colombia,1,0,H,53,1455.894657,0.6,2.0,1.8,0.2,5,1,0,13,1698.351858,0.333,1.333,1.667,-0.333,3,1,0,40,-242.45720099999997,0.4616,0.267,0.533,0,0
1998,Group stage,Germany,USA,2,0,H,10,1735.771984,0.6,1.8,1.4,0.4,5,1,0,17,1671.2341,0.25,0.75,1.0,-0.25,4,1,0,-7,64.53788400000008,0.5095,0.35,0.65,0,0
1998,Group stage,Scotland,Norway,1,1,D,42,1503.34027,0.0,1.0,2.0,-1.0,1,1,0,31,1557.437664,0.25,0.75,0.75,0.0,4,2,0,11,-54.09739400000012,0.4912,-0.25,-1.0,0,-1
1998,Group stage,Brazil,Morocco,3,0,H,6,1765.856297,0.75,1.625,0.5,1.125,8,2,4,7,1755.100232,0.0,1.0,1.75,-0.75,4,2,0,-1,10.756065000000037,0.5015,0.75,1.875,4,0
1998,Group stage,Chile,Austria,1,1,D,55,1452.939983,0.0,2.0,2.0,0.0,1,1,0,24,1597.404087,0.0,1.0,1.0,0.0,1,1,0,31,-144.4641039999999,0.4763,0.0,0.0,0,0
1998,Group stage,Italy,Cameroon,3,0,H,12,1704.733836,0.5,1.25,0.875,0.375,8,2,3,44,1481.235245,0.0,1.0,3.0,-2.0,4,2,0,-32,223.49859100000003,0.5351,0.5,2.375,3,0
1998,Group stage,South Africa,Denmark,1,1,D,60,1428.379282,0.0,0.0,3.0,-3.0,1,1,0,21,1619.474248,1.0,1.0,0.0,1.0,1,1,0,39,-191.09496599999989,0.4687,-1.0,-4.0,0,0
1998,Group stage,France,Saudi Arabia,4,0,H,3,1869.428449,1.0,3.0,0.0,3.0,1,1,0,61,1421.538339,0.4,1.0,1.4,-0.4,5,2,0,-58,447.8901100000001,0.568,0.6,3.4,0,-1
1998,Group stage,Nigeria,Bulgaria,1,0,H,26,1586.688586,0.6,2.0,1.2,0.8,5,2,0,87,1271.683325,0.375,1.25,1.375,-0.125,8,2,0,-61,315.005261,0.5551,0.225,0.925,0,0
1998,Group stage,Spain,Paraguay,0,0,D,2,1873.013187,0.333,2.0,1.5,0.5,6,2,0,40,1505.349689,0.0,0.0,0.0,0.0,1,1,0,-38,367.6634980000001,0.5544,0.333,0.5,0,1
1998,Group stage,Japan,Croatia,0,1,A,18,1661.576187,0.0,0.0,1.0,-1.0,1,1,0,11,1714.865572,1.0,3.0,1.0,2.0,1,1,0,7,-53.28938500000004,0.4921,-1.0,-3.0,0,0
1998,Group stage,Belgium,Mexico,2,2,D,9,1742.235945,0.4,0.8,0.8,0.0,5,2,0,14,1687.481759,0.4,1.4,1.0,0.4,5,2,0,-5,54.75418599999989,0.508,0.0,-0.4,0,0
1998,Group stage,Netherlands,Korea Republic,5,0,H,8,1751.097835,0.5,1.333,1.0,0.333,6,2,0,25,1591.630886,0.0,1.25,2.0,-0.75,4,2,0,-17,159.4669490000001,0.5239,0.5,1.083,0,0
